代码,名称,净利润增长率_2017,净利润增长率_2016,净利润增长率_2015
600566,济川药业,30.9926,36.7792,31.5227
600567,山鹰纸业,462.9114,72.9493,87.463
600590,泰豪科技,88.7944,36.1914,73.3566
600604,市北高新,96.7155,31.5216,836.6397
600667,太极实业,33.0723,195.595,30.5339
600708,光明地产,72.3881,129.358,139.3656
600737,中粮糖业,47.7119,645.6529,158.683
600751,海航科技,191.4525,65.2703,213.8783
600856,中天能源,52.8568,74.2055,101898.6647
600867,通化东宝,31.4284,30.4331,77.2133
601012,隆基股份,128.8376,197.8602,74.3918
601155,新城控股,98.3677,31.5191,33.8807
601238,广汽集团,71.8804,57.1399,36.8698
601599,鹿港文化,42.7377,66.0625,98.9516
603019,中科曙光,36.0414,33.7511,52.0938
603165,荣晟环保,225.7466,59.0096,39.9272
603260,合盛硅业,134.6249,156.8654,48.0289
603338,浙江鼎力,61.8112,39.1527,36.7382
603387,基蛋生物,40.0942,32.0015,40.538000000000004
603601,再升科技,46.328,56.6672,39.9699
603660,苏州科达,55.052,46.3678,131.0955
603666,亿嘉和,153.373,305.9205,39.6846
603730,岱美股份,30.9877,39.9759,39.4637
603869,新智认知,53.7815,151.8581,37.4893
603871,嘉友国际,41.7059,41.8102,79.9992
